Trait	Population	Spearman correlation (R) to residualized trait	Number of individuals	P-value	Variance explained relative to White British	geno	covar	geno_covar
Microalbumin in urine	e_asian	0.098	323	0.0782	22.1079	0.0128494692575588	0.000211710800805635	0.00102177557628062
Non-albumin protein	e_asian	0.216	984	7.93e-12	0.4827	0.050332027981833	0.0446507822846354	0.0886033630911116
Phosphate	e_asian	0.222	986	1.87e-12	0.7541	0.046295330351402	0.162055404881195	0.202865889406992
Potassium in urine	e_asian	0.038	1045	0.224	0.8116	0.00218933482373349	0.0168168891694867	0.0185874911221417
SHBG	e_asian	0.311	979	1.85e-23	0.5648	0.0678268135580368	0.242502054487864	0.318462868312524
Sodium in urine	e_asian	0.068	1044	0.0274	0.5726	0.00209019406657881	0.0984766672566315	0.097433868718458
Testosterone	e_asian	0.115	1008	0.000255	0.4295	0.00695492100323885	0.913022017385794	0.913755657912725
Total bilirubin	e_asian	0.347	1069	0	0.4237	0.143660746660297	0.0761696149864519	0.215597420103951
Total protein	e_asian	0.247	984	3.81e-15	0.759	0.057746450430013	0.0398743659062172	0.0927473638720639
Triglycerides	e_asian	0.256	1081	1.73e-17	0.5264	0.0642544105774769	0.106951361841551	0.175701629041533
Urate	e_asian	0.269	1080	2.03e-19	0.5088	0.0550944057190107	0.283130239922193	0.338048771903453
Urea	e_asian	0.147	1080	1.3e-06	0.432	0.0206148622494816	0.108121057411776	0.128826675926116
Vitamin D	e_asian	0.095	1055	0.00205	0.1761	0.00567371161126044	0.114314638452337	0.11924842059065
Alanine aminotransferase	non_british_white	0.22	23569	7.08e-257	0.8123	0.0434068200610235	0.162027413751286	0.20410125174989
Albumin	non_british_white	0.25	21516	1.76e-303	0.9066	0.0605316603629317	0.0735813440172794	0.132569495073124
Alkaline phosphatase	non_british_white	0.449	23582	0	0.9158	0.184861749089211	0.112310489966491	0.290728771513759
Apolipoprotein A	non_british_white	0.385	21403	0	0.9378	0.124176069230931	0.190134409215788	0.315038147304342
Apolipoprotein B	non_british_white	0.467	23448	0	0.937	0.214561051930491	0.08337300417258	0.298070051685039
Aspartate aminotransferase	non_british_white	0.278	23483	0	0.9478	0.0591944985977883	0.0990706606686335	0.156402109342261
AST to ALT ratio	non_british_white	0.256	23478	0	0.8857	0.0654915978447598	0.115560544934848	0.179132167279351
C-reactive protein	non_british_white	0.346	23534	0	0.9622	0.119549321387553	0.0440102236095861	0.159541723996059
Calcium	non_british_white	0.25	21544	2.38e-303	0.9243	0.0584597145648043	0.054863463464506	0.111963492566813
Cholesterol	non_british_white	0.421	23581	0	0.9665	0.164313291771617	0.102494195780439	0.264234536633053
Creatinine	non_british_white	0.325	23576	0	0.9286	0.0640398507416131	0.332135575157274	0.393896016275872
Creatinine in urine	non_british_white	0.068	22875	9.72e-25	0.7773	0.00493775306465169	0.157361983853236	0.161335099554832
Cystatin C	non_british_white	0.391	23580	0	0.933	0.115539160334049	0.195339380189557	0.304975291966444
Direct bilirubin	non_british_white	0.453	20094	0	0.9695	0.233846122282993	0.085663534635186	0.330718615746217
eGFR	non_british_white	0.299	23576	0	0.9132	0.0497194280779506	0.205822328032687	0.255382464280653
Gamma glutamyltransferase	non_british_white	0.36	23560	0	0.9198	0.0994263860755873	0.168143100929824	0.265545513006945
Glucose	non_british_white	0.242	986	1.52e-14	1.2755	0.0214472519920112	0.0480825645511893	0.0696157323276494
HbA1c	non_british_white	0.367	22518	0	0.9547	0.0888940568673979	0.0856164325298678	0.1733456130626
HDL cholesterol	non_british_white	0.422	21542	0	0.9282	0.14841048801676	0.212987956775587	0.36109086717392
IGF-1	non_british_white	0.362	23453	0	0.9622	0.121855663657228	0.105498286226185	0.223277472568652
LDL cholesterol	non_british_white	0.436	23535	0	0.9557	0.184186195031961	0.0814834123088271	0.264079350577697
Lipoprotein A	non_british_white	0.663	19003	0	0.9187	0.479527842429949	0.0117097830067976	0.485217398743663
Microalbumin in urine	non_british_white	0.023	7133	0.0564	1.171	2.95671941586346e-05	0.0209549839919386	0.0208637720340614
Non-albumin protein	non_british_white	0.31	21516	0	0.9893	0.0962656676215486	0.0348536228284465	0.128391972631678
Phosphate	non_british_white	0.253	21497	1.6675369292536e-308	0.9847	0.0563647799389243	0.171676931958949	0.226556794691121
Potassium in urine	non_british_white	0.036	22839	7.79e-08	0.7242	0.0013443618403651	0.0474877194693283	0.0484747811737585
SHBG	non_british_white	0.384	21313	0	0.8589	0.130165128833397	0.227166898671852	0.355107641273401
Sodium in urine	non_british_white	0.077	22812	1.55e-31	0.7327	0.00595022919847593	0.105221075999129	0.110268455472101
Testosterone	non_british_white	0.169	21344	1.84e-136	0.928	0.000526690066560586	0.901816853077143	0.904328235575044
Total bilirubin	non_british_white	0.523	23472	0	0.9629	0.313199979576244	0.120774036522995	0.426410533512673
Total protein	non_british_white	0.282	21516	0	0.9859	0.0790343648254155	0.0413828361143686	0.116541100577733
Triglycerides	non_british_white	0.339	23559	0	0.9272	0.110244706738009	0.120099275266333	0.231677461378061
Urate	non_british_white	0.361	23561	0	0.9134	0.0922167551572692	0.327670149066934	0.42054160076964
Urea	non_british_white	0.205	23562	5.74e-222	0.8445	0.0388848217766259	0.121143849414317	0.157718192712514
Vitamin D	non_british_white	0.211	22617	5.04e-225	0.8681	0.0411434372277062	0.173911913408359	0.211713667227089
Alanine aminotransferase	s_asian	0.198	7325	1.16e-65	0.6565	0.0350399540611458	0.146476623190162	0.183042845156266
Albumin	s_asian	0.216	6687	2.98e-71	0.676	0.0465226853125197	0.106607581507212	0.151577865126532
Alkaline phosphatase	s_asian	0.426	7337	1.6675369292536e-308	0.8244	0.1765554930243	0.0615565377807196	0.236722117652581
Apolipoprotein A	s_asian	0.358	6682	2.26e-201	0.8116	0.118303045097404	0.179333295690592	0.292814828002442
Apolipoprotein B	s_asian	0.335	7275	1.22e-190	0.4828	0.119476950149966	0.0411966439010959	0.157142553426127
Aspartate aminotransferase	s_asian	0.243	7313	8.42e-99	0.7262	0.0492450422379983	0.0622301591171209	0.112619449790989
AST to ALT ratio	s_asian	0.204	7309	2.66e-69	0.5615	0.032410283709383	0.128831199730681	0.163375715032705
C-reactive protein	s_asian	0.315	7316	1.06e-168	0.7999	0.0985368614990037	0.0409554524562318	0.135619000114069
Calcium	s_asian	0.226	6696	3.01e-78	0.7572	0.0443763020075406	0.0527265617853581	0.0961010828919384
Cholesterol	s_asian	0.3	7336	3.06e-152	0.4893	0.0903550795688289	0.0403456513244292	0.126604163164668
Creatinine	s_asian	0.283	7339	2.12e-135	0.7043	0.0414384217926608	0.366750919984706	0.40587093834484
Creatinine in urine	s_asian	0.056	7009	2.8e-06	0.5286	0.00283422154023899	0.16376864680279	0.1658488053984
Cystatin C	s_asian	0.323	7338	2.34e-177	0.6343	0.0608388340493158	0.213980301826701	0.267419697658627
Direct bilirubin	s_asian	0.452	6088	2.55e-304	0.9655	0.180874585349937	0.100196769510824	0.301502159339865
eGFR	s_asian	0.252	7339	4.96e-107	0.6496	0.0289493343945199	0.208818309997389	0.231817048305521
Gamma glutamyltransferase	s_asian	0.338	7336	4.77e-195	0.8093	0.0941185119972647	0.105749711049553	0.200716520431697
