Glucose 10	106575427	121378575
Glucose 10	19792828	34038667
Glucose 10	3138146	20903929
Glucose 10	44118020	57642773
Glucose 10	63591768	69893580
Glucose 11	14198114	23421871
Glucose 11	351765	12008357
Glucose 11	365897	11800779
Glucose 11	400109	17518525
Glucose 11	42638472	57111502
Glucose 11	60833423	71520629
Glucose 11	63956839	76511257
Glucose 11	7117503	23425585
Glucose 12	118403686	133250550
Glucose 12	123318626	133325446
Glucose 12	20209376	29944159
Glucose 12	43212426	59150755
Glucose 12	632004	13576043
Glucose 12	93023338	106828320
Glucose 13	21555545	32053418
Glucose 13	26762810	41968116
Glucose 13	27904731	37269675
Glucose 13	70729004	87144564
Glucose 14	80252374	99785610
Glucose 14	91881704	105223525
Glucose 15	56844439	71139820
Glucose 15	60897422	71231505
Glucose 15	72221414	87467650
Glucose 16	102184	9394050
Glucose 16	48577660	62378311
Glucose 17	17800090	36798136
Glucose 17	36092671	55720446
Glucose 17	53218404	68172326
Glucose 17	61577034	73958001
Glucose 17	7581766	21283763
Glucose 19	36509463	54873286
Glucose 19	44265111	57041257
Glucose 1	110632644	120601044
Glucose 1	208043407	222040965
Glucose 1	221719862	237561024
Glucose 1	91709344	107631300
Glucose 1	917315	7078364
Glucose 1	93539212	103743976
Glucose 20	13882526	32549105
Glucose 20	34638903	52787103
Glucose 20	42952738	61356257
Glucose 20	48812576	62914959
Glucose 2	154290453	169883716
Glucose 2	160900655	179528335
Glucose 2	20772104	37447475
Glucose 2	34531775	51209100
Glucose 2	37400694	54051744
Glucose 3	113334488	131511491
Glucose 3	131678539	150028476
Glucose 3	167840593	180292831
Glucose 3	179844925	196552884
Glucose 3	90226054	109547714
Glucose 4	1203875	14986918
Glucose 4	183149109	188918274
Glucose 4	99478903	110948637
Glucose 5	142970673	157972178
Glucose 5	67102574	81961482
Glucose 5	87011693	103534440
Glucose 6	109115827	126890361
Glucose 6	119134606	137279223
Glucose 6	13924535	30656828
Glucose 6	144303140	160797557
Glucose 6	23686083	41549108
Glucose 6	35776570	53650282
Glucose 6	4368431	16300637
Glucose 7	20443630	36432641
Glucose 7	40687437	51293550
Glucose 7	40814376	54731266
Glucose 7	5337637	24425698
Glucose 7	90402284	107288280
Glucose 8	109669009	121920361
Glucose 8	143730905	146286890
Glucose 8	2164954	18962544
Glucose 8	87534776	105022251
Glucose 9	110127836	120530431
Glucose 9	129270253	139622024
Glucose 9	129399562	140125351
Glucose 9	13798499	31276851
Glucose 9	2622134	13913525
Glucose 9	27383818	38763461
Glucose X	9551483	19275555
