Urate 10	118451699	134597211
Urate 10	126765132	134937218
Urate 10	43607221	60310904
Urate 10	50909049	69883440
Urate 10	52108657	70132135
Urate 10	55589143	75214134
Urate 10	60516806	76421216
Urate 10	78918808	98448239
Urate 10	8694838	25213879
Urate 10	96148536	114272160
Urate 11	102605880	119994421
Urate 11	110950853	129023932
Urate 11	26694842	40751336
Urate 11	396294	12274395
Urate 11	54725140	71707149
Urate 11	54795492	70946643
Urate 11	753563	15415521
Urate 11	784527	10370093
Urate 12	102881696	121707488
Urate 12	114278242	131361869
Urate 12	115585571	124576837
Urate 12	124006094	133295422
Urate 12	250636	12209967
Urate 12	40784690	54457695
Urate 12	42650710	54062020
Urate 12	50215024	67835821
Urate 12	5980259	24496332
Urate 12	69622084	85755859
Urate 12	88910820	104774125
Urate 13	21300909	40746701
Urate 13	40121189	51553813
Urate 13	62953521	80671242
Urate 13	86595267	103827827
Urate 14	29202310	44004684
Urate 14	42668811	60849077
Urate 14	65860092	82286065
Urate 14	89204761	105317145
Urate 14	93391377	105314262
Urate 15	23895828	42349176
Urate 15	41607000	60353116
Urate 15	54049856	69294068
Urate 15	63380607	81673985
Urate 15	66889026	86298716
Urate 15	77977480	95280968
Urate 15	80860078	99504437
Urate 15	90120034	99996562
Urate 16	11662103	30117253
Urate 16	15179788	30063549
Urate 16	50226143	58400435
Urate 16	51689994	61035776
Urate 16	63018784	79304860
Urate 16	69786738	89735072
Urate 17	36046451	52859023
Urate 17	44341934	60305966
Urate 17	47190299	66265977
Urate 17	54772038	67620242
Urate 17	65824046	80495039
Urate 17	66231262	76829386
Urate 17	754308	17194050
Urate 18	39909305	52368655
Urate 18	44990412	61436494
Urate 18	50261987	65858248
Urate 19	1358726	17862131
Urate 19	29229728	41357457
Urate 19	33313652	40912678
Urate 19	38864354	54935505
Urate 19	481135	11345315
Urate 19	601056	17180416
Urate 19	8899318	20484769
Urate 1	144843690	155669083
Urate 1	145365595	165073727
Urate 1	146998238	158789966
Urate 1	154294560	172202982
Urate 1	17696226	36162047
Urate 1	177766658	191419223
Urate 1	190307072	209808394
Urate 1	192629727	210996806
Urate 1	203658207	220985900
Urate 1	226239213	244195351
Urate 1	41235177	57853292
Urate 1	7305238	21766453
Urate 1	77971205	92068011
Urate 1	828166	10845821
Urate 1	84322043	101593079
Urate 1	859685	11844330
Urate 20	1228183	19082569
Urate 20	16520214	31458903
Urate 20	23152473	42412165
Urate 20	33044450	52815284
Urate 20	45235570	62724698
Urate 21	16484544	23335254
Urate 21	22885652	41056338
Urate 21	27260221	44157187
Urate 21	30758842	46841119
Urate 22	23364370	40532410
Urate 22	36038076	51133518
Urate 2	103991756	123642950
Urate 2	111874194	128133076
Urate 2	143252441	158290117
Urate 2	155754358	173443465
Urate 2	160049366	179751817
Urate 2	167116655	184094809
Urate 2	177652593	183405671
Urate 2	18660365	37357770
Urate 2	196522885	213264354
Urate 2	202886705	220061551
Urate 2	205703174	221847003
Urate 2	208082510	227647098
Urate 2	219849633	236798190
Urate 2	232580456	242522993
Urate 2	28213725	42490630
Urate 2	30762	10232874
Urate 2	53204111	67865965
Urate 2	60224058	76636639
Urate 2	61222143	80086551
Urate 2	7943891	22443343
Urate 2	9237709	23445961
Urate 3	113801051	127033528
Urate 3	118807390	136007333
Urate 3	122226287	141202983
Urate 3	132004615	150357645
Urate 3	145279177	161493558
Urate 3	164387221	178351520
Urate 3	164402439	170887927
Urate 3	180368737	194131807
Urate 3	43889824	58502105
Urate 3	60509093	73878996
Urate 3	85879947	102192423
Urate 3	8640171	20073193
Urate 3	9125744	25613619
Urate 4	140417276	152995164
Urate 4	16870928	31765870
Urate 4	1802211	18111537
Urate 4	71376031	89405202
Urate 4	738275	19589676
Urate 4	79049229	96181240
Urate 4	86701615	99743185
Urate 4	93992760	112987577
Urate 5	123078955	141149655
Urate 5	164334125	180689809
Urate 5	167044636	180617148
Urate 5	27146115	44207726
Urate 5	43413444	60930305
Urate 5	50414223	64175617
Urate 5	60724366	74202265
Urate 5	65223103	82234176
Urate 5	81235187	95320786
Urate 6	1002604	18756486
Urate 6	104420418	111870588
Urate 6	107164289	120219224
Urate 6	116235646	136203830
Urate 6	123119192	140163269
Urate 6	151702442	168745113
Urate 6	1597407	11033468
Urate 6	1652164	16090103
Urate 6	16969813	35648830
Urate 6	29369015	47477173
Urate 6	34168059	53805890
Urate 6	81649644	98837449
Urate 7	120725123	138287259
Urate 7	142747291	158950104
Urate 7	148500109	158742465
Urate 7	148671221	158955490
Urate 7	40885358	55159540
Urate 7	40908037	51945174
Urate 7	628184	11235578
Urate 7	64245513	78167025
Urate 7	89748700	107826213
Urate 7	95177150	107923517
Urate 8	17234716	33291485
Urate 8	26683805	42314205
Urate 8	28650069	41437095
Urate 8	32762950	48821947
Urate 8	66550599	84964457
Urate 8	87286111	103931180
Urate 8	95059096	106842925
Urate 9	111583770	119212601
Urate 9	121333501	140085030
Urate 9	125250792	140187821
Urate 9	23829684	38183410
Urate 9	71163370	81066036
Urate 9	83117255	95138499
Urate 9	87290992	104199663
Urate 9	97814248	115390448
