trait post count
Total_bilirubin 0.999 80
Total_bilirubin 0.99 105
Total_bilirubin 0.95 190
Total_bilirubin 0.9 274
Total_bilirubin 0.75 496
Total_bilirubin 0.5 947
Total_protein 0.999 107
Total_protein 0.99 164
Total_protein 0.95 291
Total_protein 0.9 393
Total_protein 0.75 680
Total_protein 0.5 1272
Triglycerides 0.999 113
Triglycerides 0.99 151
Triglycerides 0.95 244
Triglycerides 0.9 331
Triglycerides 0.75 585
Triglycerides 0.5 1192
Urate 0.999 117
Urate 0.99 157
Urate 0.95 260
Urate 0.9 359
Urate 0.75 641
Urate 0.5 1236
Urea 0.999 39
Urea 0.99 70
Urea 0.95 144
Urea 0.9 228
Urea 0.75 426
Urea 0.5 889
Vitamin_D 0.999 22
Vitamin_D 0.99 45
Vitamin_D 0.95 114
Vitamin_D 0.9 196
Vitamin_D 0.75 388
Vitamin_D 0.5 791
