trait post count
Total_bilirubin 0.99 35
Total_bilirubin 0.95 52
Total_bilirubin 0.9 72
Total_bilirubin 0.75 109
Total_bilirubin 0.5 171
Total_protein 0.999 74
Total_protein 0.99 108
Total_protein 0.95 161
Total_protein 0.9 189
Total_protein 0.75 262
Total_protein 0.5 426
Triglycerides 0.999 84
Triglycerides 0.99 107
Triglycerides 0.95 137
Triglycerides 0.9 157
Triglycerides 0.75 218
Triglycerides 0.5 366
Urate 0.999 72
Urate 0.99 92
Urate 0.95 128
Urate 0.9 155
Urate 0.75 224
Urate 0.5 350
Urea 0.999 35
Urea 0.99 55
Urea 0.95 71
Urea 0.9 91
Urea 0.75 126
Urea 0.5 211
Vitamin_D 0.999 11
Vitamin_D 0.99 17
Vitamin_D 0.95 22
Vitamin_D 0.9 29
Vitamin_D 0.75 43
Vitamin_D 0.5 66
